Date,Name,Year,Letterboxd URI
2025-07-19,Full Metal Jacket,1987,https://boxd.it/2a1Q
2025-07-23,Time to Love,1965,https://boxd.it/46cu
2025-07-24,Rocco and His Brothers,1960,https://boxd.it/20bG
2025-07-25,The 400 Blows,1959,https://boxd.it/2b1C
2025-07-27,Porco Rosso,1992,https://boxd.it/1Tp2
2025-08-01,The Draughtsman's Contract,1982,https://boxd.it/1VhO
2025-08-04,The Falls,1980,https://boxd.it/1fFk
2025-08-07,A Zed & Two Noughts,1985,https://boxd.it/1g9a
2025-08-15,I Am Cuba,1964,https://boxd.it/1hUQ
2025-08-17,Drowning by Numbers,1988,https://boxd.it/1rYe
