Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-02-12,Beauty Is Not a Sin,2024,https://boxd.it/8NSL1t,1.5,,"mubi, denmark 🇩🇰, italy 🇮🇹",2025-02-11
2025-02-12,The Substance,2024,https://boxd.it/8O06av,4,,"mubi, wtf cinema❓",2025-02-11
2025-02-14,Captain America: Brave New World,2025,https://boxd.it/8Pmn3J,2.5,,"cbm 💬, watched in theater",2025-02-13
2025-02-15,Woyzeck,1979,https://boxd.it/8PB10N,2.5,,"⭐ herzog expedition, germany 🇩🇪, tubi",2025-02-14
2025-02-16,Fitzcarraldo,1982,https://boxd.it/8QsrCz,3.5,,"⭐ herzog expedition, germany 🇩🇪, tubi",2025-02-15
2025-02-17,Portrait of a Lady on Fire,2019,https://boxd.it/8RgSzd,4.5,,"france 🇫🇷, kanopy",2025-02-16
2025-02-18,Echoes from a Sombre Empire,1990,https://boxd.it/8SjAF3,,,"⭐ herzog expedition, germany 🇩🇪, france 🇫🇷, tubi",2025-02-17
2025-02-20,God's Angry Man,1981,https://boxd.it/8Tf9BJ,,,"⭐ herzog expedition, germany 🇩🇪, tubi",2025-02-19
2025-02-20,La Soufrière: Waiting for an Inevitable Catastrophe,1977,https://boxd.it/8TqL0j,,,"⭐ herzog expedition, germany 🇩🇪, tubi",2025-02-19
2025-02-22,Conclave,2024,https://boxd.it/8UGCDR,3.5,,,2025-02-20
2025-02-22,Pink Floyd: The Wall,1982,https://boxd.it/8UHLvT,,,"watched in theater, wtf cinema❓",2025-02-21
2025-02-27,Ryuichi Sakamoto: Coda,2017,https://boxd.it/8XKwrZ,,,mubi,2025-02-26
2025-02-28,Cobra Verde,1987,https://boxd.it/8YfY89,3.5,,"⭐ herzog expedition, germany 🇩🇪, tubi",2025-02-27
2025-02-28,Mickey 17,2025,https://boxd.it/8YtLJJ,3.5,,watched in theater,2025-02-27
2025-03-01,Se7en,1995,https://boxd.it/8Z5MG3,5,,watched in theater,2025-02-28
2025-03-02,My Best Fiend,1999,https://boxd.it/8ZzHr3,4,,"⭐ herzog expedition, germany 🇩🇪, tubi",2025-03-01
2025-03-03,Little Dieter Needs to Fly,1997,https://boxd.it/90epzZ,4,,"⭐ herzog expedition, tubi",2025-03-02
2025-03-04,Red Rocket,2021,https://boxd.it/917yVF,4,,tubi,2025-03-03
2025-03-07,The Lord of the Rings: The Two Towers,2002,https://boxd.it/92W8K3,5,Yes,,2025-03-06
2025-03-09,Grand Theft Hamlet,2024,https://boxd.it/94cpl1,2,,"misc. screening, mubi",2025-03-08
2025-03-09,The Lord of the Rings: The Return of the King,2003,https://boxd.it/94pTl7,5,Yes,watched in theater,2025-03-08
2025-03-10,Rashomon,1950,https://boxd.it/94QgQ5,3.5,,"⭐ kurosawa logs, japan 🇯🇵, misc. screening, kanopy",2025-03-09
2025-03-10,The Wolf Man,1941,https://boxd.it/954d41,3,Yes,,2025-03-09
2025-03-11,Ikiru,1952,https://boxd.it/95HWp7,4,,"⭐ kurosawa logs, japan 🇯🇵, kanopy",2025-03-10
2025-03-12,Seven Samurai,1954,https://boxd.it/96ewMF,4.5,,"⭐ kurosawa logs, japan 🇯🇵, misc. screening, kanopy",2025-03-11
2025-03-13,Throne of Blood,1957,https://boxd.it/96L6jD,4.5,,"⭐ kurosawa logs, japan 🇯🇵, kanopy",2025-03-12
2025-03-14,Werewolf by Night,2022,https://boxd.it/971ddJ,3.5,Yes,cbm 💬,2025-03-12
2025-03-14,Satantango,1994,https://boxd.it/97cvmh,4,,"hungary 🇭🇺, misc. screening, kanopy",2025-03-13
2025-03-15,Ran,1985,https://boxd.it/97JZGR,4,,"⭐ kurosawa logs, japan 🇯🇵, misc. screening, kanopy",2025-03-14
2025-03-16,Dreams,1990,https://boxd.it/98reIz,4,,"⭐ kurosawa logs, japan 🇯🇵",2025-03-15
2025-03-17,The Fall,2006,https://boxd.it/99mczJ,4.5,,mubi,2025-03-16
2025-03-18,Dogville,2003,https://boxd.it/99TqAR,4.5,,"denmark 🇩🇰, mubi",2025-03-17
2025-03-19,Werewolf of London,1935,https://boxd.it/9ah00L,2,,,2025-03-18
2025-03-20,Drunken Angel,1948,https://boxd.it/9aQaIX,4,,"⭐ kurosawa logs, japan 🇯🇵",2025-03-19
2025-03-21,Hundreds of Beavers,2022,https://boxd.it/9bubWV,4,,tubi,2025-03-20
2025-03-21,The Idiots,1998,https://boxd.it/9buc83,4,,"denmark 🇩🇰, mubi",2025-03-20
2025-03-22,The Night of the Hunter,1955,https://boxd.it/9bNLZ5,4,,tubi,2025-03-21
2025-03-23,On the Silver Globe,1988,https://boxd.it/9cGWd7,,,"poland 🇵🇱, wtf cinema❓",2025-03-22
2025-03-24,Burning,2018,https://boxd.it/9doND9,4,,"south korea 🇰🇷, mubi",2025-03-23
2025-03-25,F for Fake,1973,https://boxd.it/9dXlhJ,4.5,,"france 🇫🇷, kanopy, wtf cinema❓",2025-03-24
2025-03-27,The Master,2012,https://boxd.it/9eQmFH,4.5,Yes,tubi,2025-03-26
2025-03-28,The Boondock Saints,1999,https://boxd.it/9fgJ05,3,,tubi,2025-03-27
2025-03-29,The Conformist,1970,https://boxd.it/9fReiB,3,,"italy 🇮🇹, kanopy",2025-03-28
2025-03-30,Sherlock Jr.,1924,https://boxd.it/9gnJR7,4.5,,watched at work,2025-03-29
2025-03-30,The Big Lebowski,1998,https://boxd.it/9gFDlP,3.5,,watched in theater,2025-03-29
2025-03-31,Crumb,1994,https://boxd.it/9hlNet,4.5,,tubi,2025-03-30
2025-04-02,Lolita,1997,https://boxd.it/9ifopN,3,,tubi,2025-04-01
2025-04-03,An American Werewolf in London,1981,https://boxd.it/9iIYXp,4,Yes,tubi,2025-04-02
2025-04-04,The Eve of Ivan Kupalo,1968,https://boxd.it/9jaYcJ,,,"ussr ☭, wtf cinema❓",2025-04-03
2025-04-05,Hansel and Gretel,2007,https://boxd.it/9jKxXZ,2,Yes,,2025-04-04
2025-04-05,Nosferatu,2024,https://boxd.it/9jYUhF,4.5,Yes,misc. screening,2025-04-04
2025-04-09,Vampyr,1932,https://boxd.it/9ma1S9,2.5,,germany 🇩🇪,2025-04-08
2025-04-10,Maurice's Bar,2023,https://boxd.it/9myuh5,,,"france 🇫🇷, mubi",2025-04-09
2025-04-10,Fallen Leaves,2023,https://boxd.it/9mFBvx,3,,"finland 🇫🇮, mubi",2025-04-09
2025-04-11,The Cutting Edge: The Magic of Movie Editing,2004,https://boxd.it/9n6z2n,,,watched for class,2025-04-10
2025-04-12,There Will Be Blood,2007,https://boxd.it/9nDj65,5,Yes,kanopy,2025-04-11
2025-04-12,Interstellar,2014,https://boxd.it/9nTclz,4,Yes,watched in theater,2025-04-11
2025-04-14,Svengali,1931,https://boxd.it/9p6DCd,2.5,,,2025-04-12
2025-04-14,"Paris, Texas",1984,https://boxd.it/9p6E2Z,4.5,,criterion channel,2025-04-13
2025-04-15,American Psycho,2000,https://boxd.it/9pCzlV,4.5,Yes,,2025-04-14
2025-04-16,Buffalo '66,1998,https://boxd.it/9q1Vd5,3.5,,tubi,2025-04-15
2025-04-17,Making Waves: The Art of Cinematic Sound,2019,https://boxd.it/9qyhGR,,,watched for class,2025-04-16
2025-04-17,Rogue One: A Star Wars Story,2016,https://boxd.it/9qKyBt,4,Yes,misc. screening,2025-04-16
2025-04-18,Muse,2025,https://boxd.it/9r3qjz,,,"poland 🇵🇱, mubi",2025-04-17
2025-04-18,Monster,2023,https://boxd.it/9r3qzR,4.5,,"japan 🇯🇵, mubi",2025-04-17
2025-04-20,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/9su8pR,3,Yes,,2025-04-19
2025-04-21,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/9ttHtV,3,Yes,watched in theater,2025-04-20
2025-04-22,McCabe & Mrs. Miller,1971,https://boxd.it/9tWwUJ,4,,kanopy,2025-04-21
2025-04-22,M.A.Y.A.,2024,https://boxd.it/9ub0lx,,,"watched in theater, festival",2025-04-21
2025-04-25,Django Unchained,2012,https://boxd.it/9vD0nN,4,Yes,,2025-04-24
2025-04-26,Valparaiso,1963,https://boxd.it/9waVj5,4,,"chile 🇨🇱, france 🇫🇷, mubi",2025-04-25
2025-04-27,Challengers,2024,https://boxd.it/9wJdrT,3.5,,,2025-04-26
2025-04-27,Boro in the Box,2011,https://boxd.it/9wW5et,5,,"wtf cinema❓, france 🇫🇷, mubi",2025-04-26
2025-04-28,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/9xCvlf,3.5,,watched in theater,2025-04-27
2025-04-28,Sinners,2025,https://boxd.it/9xIldn,4.5,,watched in theater,2025-04-27
2025-04-29,Nightcrawler,2014,https://boxd.it/9y6nSZ,4.5,Yes,kanopy,2025-04-28
2025-04-30,"Family Romance, LLC",2019,https://boxd.it/9yxsNf,2,,mubi,2025-04-29
2025-05-01,World of Glory,1991,https://boxd.it/9z1z1H,,,"sweden 🇸🇪, mubi",2025-04-30
2025-05-01,The Long Goodbye,1973,https://boxd.it/9z1Iid,4,,tubi,2025-04-30
2025-05-02,Grand Tour,2024,https://boxd.it/9zMfAh,3,,"portugal 🇵🇹, italy 🇮🇹, mubi",2025-05-01
